 ,source,target
/Loc_UI_Subterminals_WelcomeShow_Text1,"Ensure there are no guests near the animatronics before starting the show.

DAYS SINCE LAST ACCIDENT: 3","开始表演前，请确保没有客人在机器人附近。

 距离上次事故已过天数：3"
/Loc_UI_OptionsMenu_EnvironmentQuality,Environment Quality,环境质量
/Loc_UI_Subterminals_DarkRide_Text5,"Error: Door to Recycling Center missing central functional gear. 

See Parts and Service for gear replacements. ","错误：前往回收中心的门缺失中轴齿轮。

 请向“零件与服务”申领齿轮替换。 "
/Loc_UI_Subterminals_Workshop_Text4,"Error: Springlock Suit is not functional. Please assemble all springlock pieces before proceeding to the Theater. 

The Show must go on!","错误：弹簧锁套装未就绪。请在前往剧院前组装全部弹簧锁部件。

 表演必须继续！"
/Loc_UI_Subterminals_Nightlight_Text5,"Error: Structural Damage - 65%

Warning: Do not activate Show until Moon is repaired.","错误：结构损坏 - 65%

警告：在月亮修复前请勿启动演出。"
/BB370E874BD7062CB3FC79BA74599D5F,Examine Ruins,检查废墟
/Loc_UI_PermissionLevel_Executive,Executive,执行官
/Loc_UI_UpgradeStation_ExecutivePermissionGained,Executive Permission Gained!,已获得执行官权限！
/Loc_UI_UpgradeStation_ExecutiveUpgrade,Executive Upgrade,执行官升级
/Loc_UI_MainMenu_ExitGame,Exit Game,退出游戏
/Loc_UI_Subterminals_AdminWingSurv_Text1,"Experimental Storage #2. 

All classfied documents are property of MCM.","实验存储区 #2。

所有机密文件均归MCM所有。"
/Loc_UI_Subterminals_InventorsHouseAttic_Text4,FILE REDACTED,文件已编辑
/Loc_UI_OptionsMenu_FPSCap,FPS Cap,帧率上限
/Loc_UI_MainTerminal_2DGame_Failed,Failed,失败
/5BEF0309459E9A05AE93438CA26F9AD3,FALSE,
/Loc_UI_ProfileSelect_FastestShift,Fastest Shift : 00:00:00.00,最快轮班：00:00:00.00
/Loc_UI_OptionsMenu_FilterStrength,Filter Strength,过滤强度
/Loc_UI_Flow_Warnings_Text2,"Flashing Lights
Loud Noises
Lots of jumpscares!","   闪烁的灯光
突如其来的惊吓音效
   大量跳杀！"
/Loc_UI_MainTerminal_Map_Floor,Floor,楼层
/Loc_UI_MainTerminal_Map_Floor1,Floor 1,一楼
/Loc_UI_MainTerminal_Map_Floor2,Floor 2,二楼
/Loc_UI_InputBinding_Forward,Forward,前进
/Loc_UI_OptionsMenu_French,French,法语
/Loc_UI_OptionsMenu_FullScreen,Full Screen,全屏
/Loc_UI_MainTerminal_2DGame_UpgradeStation_GAMEOVER,GAME OVER,游戏结束
/Loc_UI_Options_GameplayAllCaps,GAMEPLAY,游戏玩法
/Loc_UI_OptionsMenu_GAMEPLAYOPTIONS,GAMEPLAY OPTIONS,游戏选项
/Loc_UI_OptionsMenu_GraphicsOptions,GRAPHICS OPTIONS,画质选项
/Loc_UI_Jumpscare_Gameover,Game over,游戏结束
/Loc_UI_OptionsMenu_Gameplay,Gameplay,玩法
/Loc_UI_OptionsMenu_Gamma,Gamma,伽马
/Loc_UI_OptionsMenu_German,German,德语
/Loc_UI_OptionsMenu_GlobalIllumination,Global Illumination,全局光照
/Loc_UI_OptionsMenu_GlobalQuality,Global Quality,全局质量
/Loc_UI_Tutorials_Grab,Grab,抓取
/Loc_UI_OptionsMenu_Graphics,Graphics,画质
/Loc_UI_OptionsMenu_GraphicsQuality,Graphics Quality,画质设置
/Loc_UI_Subterminals_AdminWing_Text1,"Greetings, Mr. Murray. How can I help you today?",您好，默里先生。今天有什么可以帮您的吗？
/Loc_UI_OptionsMenu_HeadBob,Head Bob,头部晃动
/Loc_UI_Credits_IntroCredits_Holdtoskip,Hold to skip,按住跳过
/Loc_UI_Terminals_ReadyConnection_INSERTDATADIVER,INSERT DATA DIVER,请插入数据潜入器
/Loc_UI_Menus_ControlsOptions_Text1,"If you are unsure, Reset All Bindings",如有疑问，请重置所有按键绑定
/Loc_UI_Subterminals_Nightlight_Text1,"In case of a power emergency, please grab the nearest Starbright and head to a marked exit.",遇到断电等紧急情况时，请尽快拿到最近的星光并前往指定出口。
/Loc_UI_OptionsMenu_Input,Input,输入
/Loc_UI_InputBinding_Interact,Interact,互动
/Loc_UI_Options_Controls_InteractMotion,Interact Motion,互动动作
/Loc_UI_Menus_ControlsOptions_Interaction,Interaction,交互
/Loc_UI_InventoryCategorySelection_TerminalLabel,Inventory Terminal 1.00,库存终端 1.00
/Loc_UI_OptionsMenu_InvertYAxis,Invert Y Axis,反转 Y 轴
/Loc_UI_Subterminals_R&D_Text1,"It is your responsibility to ensure that all proprietary information is never taken off the premises. 

Violators will be met with swift termination.","您有责任确保所有专有信息不得外泄。

违规者将被立即解雇。"
/Loc_UI_OptionsMenu_Italian,Italian,意大利语
/Loc_UI_OptionsMenu_Japanese,Japanese,日语
/BAF8133644A2EEFA36B83EA8905D50CA,Jumpscare,惊吓画面
/Loc_UI_OptionsMenu_JumpscareVolume,Jumpscare,惊吓
/Loc_UI_Subterminals_IncineratorRoom_Text1,"Keep hair, clothes, skin and any other flammable material away from the Incinerator. 

DAYS SINCE LAST ACCIDENT: 0","请将头发、衣服、皮肤及任何易燃物远离焚化炉。

距上次事故天数：0"
/Loc_UI_OptionsMenu_Korean,Korean,韩语
/Loc_UI_Options_Controls_L3,L3:,
/7A39A31C4CB57EF69EECA690474213BF,LIVE,直播
/Loc_UI_Options_Controls_LS,LS:,LS：
/Loc_UI_OptionsMenu_Language,Language,语言
/Loc_UI_ProfileCard_LastClockedIn,Last Clocked In,上次打卡
/Loc_UI_Menus_ControlsOptions_LeaveSpringlock,Leave Springlock,脱下弹簧锁套装
/Loc_UI_InputBinding_Left,Left,左
/Loc_UI_LoadingScreen_Loading...,Loading...,加载中…
/Loc_UI_Options_Controls_Camera,Look,观察
/Loc_UI_OptionsMenu_LookSensitivity,Look Sensitivity,视角灵敏度
/5A7832934F8A2234C431B0804B573D9C,Look at the Statues,观察雕像
/Loc_UI_MainTerminal_Map_MAP,MAP,地图
/Loc_UI_MainTerminal_2DGame_Moon,MOON,月亮
/Loc_UI_OptionsMenu_Master,Master,主音量
/Loc_UI_Subterminals_InventorsHouseSurv_Text1,Mechanical X-form Experimental Storage #1,机械 X 型实验存储 #1
/Loc_UI_Menus_ControlsOptions_Movement,Movement,移动
/Loc_UI_OptionsMenu_Music,Music,音乐
/3B50D6EC4B9FE24B37F2678A733314B3,Name,名称
/Loc_UI_MainMenu_NewGame,New Game,新游戏
/168D5052468584911988348F971B9F01,New Game +,新游戏+
/Loc_UI_MainMenu_NewGame+2,New Game +,新游戏+
/Loc_UI_VanStartMenu_NewGamePlus,New Game Plus,新游戏加强版
/Loc_UI_MainMenu_NewGame+,New Game+,新游戏+
/Loc_UI_MAP_FloorNoSignal,No Signal,无信号
/Loc_UI_UpgradeStation_NoupgradeAvailable,No upgrade Available,无可用升级
/Loc_UI_OptionsMenu_Options,OPTIONS,选项
/Loc_UI_GameplayOptions_Options-,OPTIONS -,选项-
/076B0977470DC815B07DA48BF022F961,Off,关闭
/1E0A351D47FD232CB2618186A6A8B2DA,Off,关闭
/288AF8BE48EB7AE0669B61B6E255219D,Off,关闭
/63A1555944F9562F173BC4A0EB06E74C,Off,关闭
/86D4D75547BA85DD7390CEBC142EFE02,Off,关闭
/Loc_UI_Off,Off,关闭
/Loc_UI_On,On,开启
/Loc_UI_Subterminals_DarkRide_Text2,Open Door,开门
/Loc_UI_Subterminals_DarkRide_Text4,Open Door - Missing Gear,开门 - 缺少齿轮
/Loc_UI_Subterminals_Nightlight_Text3,Open Staff Door,开启员工门
/Loc_UI_Subterminals_DarkRide_Text3,Open Vent,打开通风口
/Loc_UI_MainMenu_Options,Options,选项
/Loc_UI_Options_Controls_Options,Options,选项
/Loc_UI_Menus_ControlsOptions_Other,Other,其他
/Loc_UI_OptionsMenu_OtherOptions,Other Options,其他选项
/Loc_UI_Widget_PressStart_Press,PRESS ANY BUTTON,按任意键
/5D9552044DBE1FB4854CA59309151396,"PROTO
MIMIC","原型
模仿者"
/Loc_UI_Terminals_RootScreen_Parachute.exe,Parachute.exe,Parachute.exe
/Loc_UI_Options_Controls_Pause,Pause,暂停
/Loc_UI_Menus_ControlsOptions_PauseMenu,Pause Menu,暂停菜单
/Loc_UI_PauseMenu_Paused,Paused,已暂停
/Loc_UI_DLSS_performance,Performance,性能
/Loc_UI_Subterminals_Workshop_Text1,Pieces of updated Captain Springlock Suit can be found in the workshop. Full suit required to enter theater backstage.,更新后的船长弹簧锁套装部件可在工坊找到。进入剧院后台需全套套装。
/Loc_UI_OptionsMenu_Portuguese(Brazil),Portuguese (Brazil),葡萄牙语(巴西)
/DA1291A7454E7EB7F85ADB9195BE3B5C,Position,位置
/Loc_UI_OptionsMenu_Press&Hold,Press & Hold,按住
/Loc_UI_Flow_EULAAccept_PresstoAccept,Press to Accept,按下接受
/Loc_UI_MainMenu_Profiles,Profiles,用户档案
/Loc_UI_OptionsMenu_Protanopia,Protanopia,红绿色盲
/Loc_UI_DLSS_Quality,Quality,质量
/Loc_UI_Subterminals_R&D_TerminalName,R & D controls 1.00,研发操作 1.00
/Loc_UI_Options_Controls_R3,R3:,
/Loc_UI_InventoryLayout_ReturntoCategories,RETURN TO CATEGORIES,返回分类
/Loc_UI_Options_Controls_RS,RS:,RS：
/Loc_UI_Subterminals_InventorsHouseSurv_Text2,RUN: CRADLE.EXE,运行：CRADLE.EXE
/Loc_UI_OptionsMenu_RayReconstruction,Ray Reconstruction,光线重建
/Loc_UI_OptionsMenu_RayTrace,Ray Trace,光线追踪
/Loc_UI_OptionsMenu_RayTraceReflections,Ray Trace Reflections,光线追踪反射
/Loc_UI_OptionsMenu_RayTracing,Ray Tracing,光线追踪
/Loc_UI_Widgets_WBPObj_RecoverFaz,Recover the Fazbear Property,回收费斯熊财产
/Loc_UI_OptionsMenu_Reflections,Reflections,反射
/Loc_UI_PermissionLevel_Repair,Repair,修理
/Loc_UI_UpgradeStation_RepairPermissionGained,Repair Permission Gained!,已获得修理权限！
/Loc_UI_UpgradeStation_RepairUpgrade,Repair Upgrade,修理升级
/Loc_UI_Subterminals_WelcomeShow_Text2,Reset Welcome Show,重置欢迎表演
/Loc_UI_OptionsMenu_Resolution,Resolution,分辨率
/Loc_UI_OptionsMenu_ResolutionScaling,Resolution Scaling,分辨率缩放
/57AAA6F145A676ACCDAA06BB11205E41,Return,返回
/888E99E749E76A09D452FD82C97151C2,Return to Forest Path,返回森林小径
/Loc_UI_InputBinding_Right,Right,右
/Loc_UI_Menus_ControlsOptions_Run,Run,奔跑
/Loc_UI_GameplayOptionsMenu_RunActionType,Run Action Type,奔跑操作模式
/Loc_UI_OptionsMenu_RunType,Run Type,奔跑类型
/3540196A4E1623290B6D46AB82682B2D,Run:,运行：
/Loc_UI_OptionsMenu_SFX,SFX,音效
/Loc_UI_OptionsMenu_SUBTITLESETTINGS,SUBTITLE SETTINGS,字幕设置
/Loc_UI_ProfileCard_SaveSlotFormatText,SaveGameSlot{SlotNumber},存档槽{SlotNumber}
/Loc_UI_OptionsBottomBar_Scroll,Scroll,滚动
/Loc_UI_PermissionLevel_Security,Security,安保
/Loc_UI_UpgradeStation_SecurityPermissionGained,Security Permission Gained!,已获得安保权限！
/Loc_UI_UpgradeStation_SecurityUpgrade,Security Upgrade,安保升级
/Loc_UI_OptionsBottomBar_Select,Select,选择
/Loc_UI_Options_Controls_Select,Select,选择
/Loc_UI_MainTerminal_Logs_Text1,Select a Work Report,选择工作报告
/Loc_UI_InventoryCategorySelection_CategorySelection,Select a category,选择分类
/Loc_UI_InventoryLayout_Selectanitem,Select an item,选择物品
/Loc_UI_Menus_ControlsOptions_Text5,Select key to continue,按任意键继续
/Loc_UI_OptionsMenu_Shadows,Shadows,阴影
/Loc_UI_Options_Brightness_Skip,Skip,跳过
/Loc_UI_OptionsMenu_Spanish(LatinAmerica),Spanish (Latin America),西班牙语(拉丁美洲)
/Loc_UI_OptionsMenu_Spanish(Spain),Spanish (Spain),西班牙语(西班牙)
/Loc_UI_BPStarbright,Starbright,星光秀
/Loc_UI_Subterminals_Workshop_Text2,Start Assembly,开始组装
/Loc_UI_WelcomeShow_StartGoodbyeShow,Start Goodbye Show,开始告别秀
/Loc_UI_Subterminals_Nightlight_Text4,Start Night Light Show,开始夜灯秀
/Loc_UI_Subterminals_Nightlight_Text2,Start Night Light Show -- Error: Missing Moon,启动夜灯秀 — 错误：缺少月亮
/FF1D41B245329153B6915A8CA3FDABE1,Stay Up Latte,熬夜拿铁
/Loc_UI_Subterminals_Nightlight_TerminalName,Storytime Showroom controls 1.00,故事会展厅控制1.00
/Loc_UI_OptionsMenu_SubtitleSettingsLC,Subtitle Settings,字幕设置
/Loc_UI_OptionsMenu_SubtitleSize,Subtitle Size,字幕大小
/Loc_UI_MainTerminal_2DGame_Success,Success!!,成功！！
/Loc_UI_Subterminals_InventorsHouseSurv_TerminalName,Surveillance controls 1.00,监控控制1.00
/Loc_UI_Terminals_RootScreen_TERMINAL1.00,TERMINAL 1.00,终端1.00
/Loc_UI_Menus_ControlsOptions_Terminal,Terminal,终端
/96ABC13347BB8BE2CDD0818D147C612F,Testing,测试
/Loc_UI_OptionsMenu_Textures,Textures,材质
/Loc_UI_Menus_ControlsOptions_Text2,The following must have a keybinding before you can continue,在你继续之前，必须为下列内容设定按键绑定
/6695573A433278DE85C07ABD77EF5DD7,These are ancient ruins of what was once a happy home. A fire has blackened the walls.,这里曾是温馨家园，如今成了残破的废墟。火灾熏黑了墙壁。
/Loc_UI_Menus_ControlsOptions_Text3,"This binding will be cleared if you continue. 
Are you sure?","如果你继续，该按键绑定将被清除。
你确定吗？"
/Loc_UI_Flow_Warnings_Text1,This game contains,本游戏包含
/Loc_UI_Widgets_GameMenu_PopUps_NewGameConfirmation_Text2,This will erase profile data,这将删除个人档案数据
/Loc_UI_Widgets_GameMenu_PopUps_NewGamePlusConfirmation_Text1,"This will erase profile data
Don't worry, you managed to keep all the collectibles you found.","这会抹除个人档案数据
别担心，你已经保留了所有找到的收藏品。"
/Loc_UI_ProfileCard_TimeWorked,Time Worked,工作时间
/Loc_UI_OptionsMenu_Toggle,Toggle,切换
/Loc_UI_InventoryCategorySelection_Tools,Tools,工具
/Loc_UI_OptionsMenu_Tritanopia,Tritanopia,蓝黄色盲
/4A792DF145A9991F2B1139A96C349939,Two statues of a man and woman taking their wedding vows. A fire blackened the woman statue.,一对男女雕像正在交换结婚誓言。火灾使女性雕像变得焦黑。
/Loc_UI_MainTerminal_2DGame_UpgradeStation_UPGRADECOMPLETE,UPGRADE COMPLETE!,升级完成！
/Loc_UI_UpgradeStation_UPGRADEFAILED,UPGRADE FAILED,升级失败
/Loc_UI_UpgradeStation_UPGRADEPUZZLE,UPGRADE PUZZLE,升级谜题
/Loc_UI_OptionsMenu_UltraPerformance,Ultra Performance,超高性能
/Loc_UI_OptionsMenu_DLSS_UltraQuality,Ultra Quality,超高画质
/Loc_UI_MainTerminalMapFooter_UnknownUser,Unknown User,未知用户
/Loc_UI_OptionsMenu_Unlimited,Unlimited,无限
/Loc_UI_ProfileCard_UnusedEmployeeID,Unused Employee ID,未使用员工ID
/Loc_UI_Menus_ControlsOptions_Up,Up,上
/Loc_UI_Subterminals_WelcomeShow_Text4,"Update to System: 
- We need to update the Swing Bee. He's shorting out every third show. 
- Can we also get Mrs. Helpful in here? ","系统更新：
- 我们需要更新摇摆小蜜蜂。它每三场就短路一次。
- 可以把帮手夫人也叫来吗？ "
/Loc_UI_UpgradeStation_Upgrade,Upgrade,升级
/Loc_UI_UpgradeStation_Upgrading...,Upgrading...,正在升级……
/Loc_UI_Options_Controls_UseHeldObject,Use Held Object,使用手中物品
/Loc_UI_OptionsMenu_VOLUMESETTINGS,VOLUME SETTINGS,音量设置
/Loc_UI_OptionsMenu_VSync,VSync,垂直同步
/LOC_UI_GameplayOptions_ToggleHaptic,Vibration,震动
/Loc_UI_OptionsMenu_Voice,Voice,语音
/Loc_Options_AudioMenu_VolumeSettings,Volume Settings,音量设置
/Loc_UI_Flow_Warnings_WARNING,WARNING,警告
/Loc_UI_CraneGame_Waiting...,Waiting...,等待中……
/Loc_UI_Subterminals_WelcomeShow_Text3,Welcome Show Update,欢迎秀更新
/Loc_UI_Subterminals_WelcomeShow_TerminalName,Welcome Show controls 1.00,欢迎秀控制1.00
/Loc_UI_Subterminals_DarkRide_Text1,"Welcome to the MCM Recycling Center. 

All guests must register with the front office before gaining access.","欢迎来到MCM回收中心。

所有访客在进入前请先到前台登记。"
/Loc_UI_OptionsMenu_Windowed,Windowed,窗口化
/Loc_UI_OptionsMenu_WindowedMode,Windowed Mode,窗口模式
/Loc_UI_Controller_Connected,Wireless controller has been connected,无线手柄已连接
/Loc_UI_Controller_Disconnected,Wireless controller has been disconnected,无线手柄已断开连接
/E649ADEA475156B53D7D90ADA1434B07,Work Log,工作日志
/Loc_UI_MainTerminal_Logs_TerminalName,Work Reports 1.00,工作报告1.00
/7313A6844A4FC348770A8E9BA875A429,You take the path back to the Dark Forest Path.,你沿着小路返回黑森林小径。
/Loc_UI_MainTerminal_OptionsText1,[1] MAP,[1] 地图
/Loc_UI_MainTerminal_OptionsText2,[2] AUDIO,[2] 音频
/Loc_UI_MainTerminal_OptionsText3,[3] LOGS,[3] 日志
/Loc_UI_MainTerminal_OptionsText4,[4] 2D GAME,[4] 2D游戏
/Loc_UI_MainTerminal_OptionsText5,[ESC] ESCAPE,[ESC] 退出
/Loc_UI_Subterminals_Selected,[Selected],[已选择]
/Loc_UI_InventoryStation_Withdrawn,[Withdrawn],[已取出]
/Loc_UI_Subterminals_DarkRide_TerminalName,dark ride office controls 1.00,黑暗乘骑办公室控制1.00
/Loc_UI_Subterminals_IncineratorRoom_TerminalName,incinerator controls 1.00,焚化炉控制1.00
/Loc_UI_Menus_ControlsOptions_Text4,is already bound to,已经绑定到
/Loc_UI_Terminals_RootScreen_logs,logs,日志
/Loc_UI_Terminals_RootScreen_maps,maps,地图
/Loc_UI_Terminals_RootScreen_moon.exe,moon.exe,月亮.exe
/Loc_UI_Subterminals_General_move,move,移动
/Loc_UI_Subterminals_General_mrhelpful,mr. helpful,帮手先生
/Loc_UI_Terminals_RootScreen_run:,run:,运行：
/Loc_UI_Subterminals_General_spacebar,space,空格
/Loc_UI_InventoryLayout_Withdraw,withdraw,撤回
/Loc_UI_InventoryLayout_xStored,x Stored,x 已存储
/Loc_UI_MainTerminal_2DGame_CollectablesFormat,{Collected} of {Total Collectables},{Collected} / {Total Collectables}
/Loc_UI_ProfileCard_TimeFormat,{Hour}:{Min}:{Seconds},{Hour}:{Min}:{Seconds}
/Loc_UI_ProfileCard_DateFormat,{Month}/{Day}/{Year},{Month}/{Day}/{Year}
Loc_2DGame/Loc_2DGame_Act3_Game_ChicaPartyRoom_Text3,"""Ba-gawk,"" Chica says. She eyes the empty birthday plates sadly.",“咯-咯，”奇卡说。她忧伤地望着空荡荡的生日盘子。
Loc_2DGame/Loc_2DGame_Act3_Game_ChicaPartyRoom_Text10,"""Ba-gawk?"" Chica says as she takes the birthday cake. Tears come to her eyes.",“咯-咯？”奇卡一边说着，一边拿起了生日蛋糕。她的眼里已经泛起了泪花。
Loc_2DGame/Loc_2DGame_Act3_Game_DavidsRoom_Text3,"""He bounced the moon, spelled his name in the stars, and ran through the snow with the silent hunter.""",“他弹跳过月亮，用星星拼出自己的名字，还和那个寂静的猎人在雪地中奔跑。”
Loc_2DGame/Loc_2DGame_Act3_Game_BigTopShowRoom_Text6,"""Help us!"" they whisper.",“救救我们！”他们低声呼喊。
Loc_2DGame/Loc_2DGame_Act2_DarkForestCabin_Text3,"""Hoo! Hoo!""",“咕！咕！”
